"大腿骨転子部骨折はどのような骨折に分類されるか？","高齢者に多い骨粗鬆症関連骨折"
"大腿骨転子部骨折の主な発症機転は何か？","立位からの転倒"
"大腿骨頚部骨折と比較した大腿骨転子部骨折の発生年齢の特徴は？","統計的に転子部骨折のほうが高い"
"大腿骨転子部骨折と頚部骨折の血流比較は？","転子部骨折の方が血流良好で骨癒合しやすい"
"転子部骨折で偽関節や骨頭壊死が少ない理由は？","血流が良好だから"
"転子部骨折の骨梁・骨皮質の特徴は？","骨皮質が薄く骨梁が粗で脆い"
"転子部骨折で骨折線が複雑になりやすい理由は？","骨皮質が菲薄で脆弱だから"
"3分節骨折とは何か？","骨折部が3つに分かれた骨折"
"4分節骨折とは何か？","骨折部が4つに分かれた骨折"
"日本で広く用いられる大腿骨転子部骨折分類は何か？","Evans分類"
"Evans分類Type Iの骨折線の走行は？","大転子部から内下方、小転子側へ向かう"
"Evans分類Type IIの骨折線の走行は？","小転子側から外側遠位へ向かう"
"Evans分類で安定型と不安定型の違いは？","整復後に安定性が得られるかどうか"
"Evans分類で不安定型に分類されるのは？","Type Iで整復後も不安定なものとType II"
"Evans分類Type Iでも安定型になる条件は？","整復後に安定性が得られること"
"大腿骨転子部骨折治療の原則は？","強固な内固定と早期離床"
"不安定型骨折の内固定材料選択で注意する理由は？","術中骨折やtelescoping現象による骨癒合遅延を防ぐため"
"sliding hip screwの適応は何か？","安定型骨折"
"不安定型骨折でsliding hip screw単独が不適な理由は？","ラグスクリューと骨折部距離が近く新たな骨折・telescopingを起こす"
"不安定型骨折でsliding hip screwを使う場合の工夫は？","buttress plate併用やつば付きscrewの使用"
"short femoral nailの適応は何か？","安定型から不安定型まで広く適応"
"short femoral nailの合併症を2つ挙げよ","リーミングによる大腿骨幹部骨折、術後大腿部痛"
"頚部基部骨折の治療に用いられる内固定は？","sliding hip screwとcannulated cancellous screw併用"
"大腿骨骨折で皮下骨折でも起こる内出血量は？","500〜1,000mL"
"大腿骨骨折で起こりうる全身症状は？","血圧低下やショック"
"中1/3部大腿骨骨折で早期荷重が可能な術式は？","髄内釘"
"locking compression plate (LCP) の使用場面は？","下肢人工関節周囲骨折など"
"創外固定の適応を2つ挙げよ","開放骨折、多発外傷で長時間麻酔困難な場合"
"転子部骨折で早期離床を目指す理由は？","高齢者の全身合併症予防と機能維持"
"転子部骨折後にtelescoping現象が起こると何が問題か？","骨癒合遅延や変形治癒"
"転子部骨折の術後合併症予防のためのリハビリ開始時期は？","術翌日から離床開始が推奨される"
